StateName,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
North Carolina,NC,72437047.99,62395626.75,58313499.56,52823515.15,55109820.6,51822588.4,51491756.4,45355267.4,46571353.4,43811902.4,35396402.1,39118920.2
North Dakota,ND,36871847.970969,36721205.971,38092660.62365,36414304.0,36944376.3,40126442.5,38908593.1,39101054.1,43096904.4912548,41533730.1408196,37809914.7853624,38679390.9109944
Ohio,OH,137638789.378371,130872203.331353,117623724.668009,122776017.63,122852092.9,108989378.18,105357022.08,106101518.18,102505248.3228,94039517.349,92940551.375,96132324.92
Oklahoma,OK,64846295.019883,73316728.709,71758634.610501,70034687.199,70034116.417,67432181.21694,63899575.7391,60690323.5704,63730115.0272055,57538026.4116847,51771499.4089536,52312148.167899
Oregon,OR,12477303.7,8894920.9,9480236.85121,11764152.2,10756534.9,11331075.9,10468538.0,10401434.1,11228075.7,13524570.2,11932371.9,11214401.3
Pennsylvania,PA,145399599.486925,140559484.063,130731190.692457,131282097.45,123705053.6,115472050.4,110120535.5289,104954232.2631,104267651.3355,103811635.746273,94795781.4391,101933293.1958
Rhode Island,RI,3375619.5,3769184.1,3577023.0,2708253.3,2721245.6,3032982.8,2779520.9,3143670.3,3433612.1,3099134.3,3477413.9,3621407.3
South Carolina,SC,46975242.999688,44164256.406,39718523.656911,35196495.91,40261327.8,37239909.6,35311026.6,32056266.5,35933381.8,31883389.4,29977082.8,32699950.5
South Dakota,SD,6166052.8,5661495.0,5701141.4,6091465.5,5868015.3,4917080.2,5632758.4,5602636.1,5877808.4,6418743.9,5126957.2,5346409.1
Tennessee,TN,48956215.862702,47113710.499,45119512.599,41858956.914,44682318.586,40522471.7,42634937.0,40268901.5,34657506.1,32976872.0,27979956.1,32511084.1
Texas,TX,353416610.701697,385582263.123,375476281.401534,391097557.817864,394272058.72303,382932178.138839,389029334.985131,396208264.213581,405685641.27997,410191063.678377,377755304.209929,382860204.17731
Utah,UT,40189942.069,39072063.9,37711975.759645,41329777.2,41343305.27,39865441.6,34706289.54,34244108.1,34795689.72,34668312.1,31865766.5,36065743.3
Vermont,VT,165547.6,158140.3,148619.5,165066.7,163649.7,154060.8,149280.4,148254.5,154658.9,157582.9,125128.4,130626.1
Virginia,VA,43510813.5071,37761050.221,34971421.045772,40138747.461,39449144.195,39776735.884,42199564.2,37503713.0,38803802.8,35827917.0,37152087.6,32731139.7
Washington,WA,23628317.91,18141035.34,16738950.06,22827060.3,22457470.9,21329941.1,20115285.8,20539011.4,20470038.2,24703909.7,21062304.3,19942315.7
West Virginia,WV,77855622.59444,77226173.996,71472013.918575,73216823.6,78681636.1,71384424.9,74178041.9,71749284.3,65757417.2,62663779.7,55224338.2,64439685.0
Wisconsin,WI,54157798.048579,52964716.852,47269758.796508,53420695.5,50228164.8,51752812.2,48070861.3,50385152.0,48586490.2,41366258.4,38459725.0,42563805.6
Wyoming,WY,59094144.525,63411590.73,66006666.71,66359215.7,61755829.2,62160024.0,57296517.4,60036203.4,59192342.0,54439375.9,52525469.1,50790072.3
Puerto Rico,PR,14090715.1,13391381.4,13446100.8,11684577.7,11228601.8,12013448.7,9302974.1,7932710.6,7726397.0,7450249.6,9925041.5,1479745.6
