StateName,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
North Dakota,ND,293872.415225,524628.40725,600648.523625,677702.5,794744.5,839100.75,795732.0,880200.0,849782.639497366,1006119.43387313,875491.277058456,901446.083174064
Ohio,OH,6121132.1941,6865804.02994768,7315839.70690199,7396615.5,7087861.75,6565652.75,5492189.0,5333008.675,5943869.375,6389197.275,6400718.05,6528390.4
Oklahoma,OK,1888017.385975,13262112.562425,14641712.0461,12214165.9,12413841.2,13194218.67375,13583394.8225,12569351.64,12169232.2784257,10863323.1041994,8109328.95826725,7676408.27995429
Oregon,OR,1080062.618225,1133401.20845,1211259.28165,1098045.75,1152613.25,1181230.25,1051877.75,989262.25,994965.25,940989.25,855743.75,807873.25
Pennsylvania,PA,3610964.634025,13845374.62745,12348059.011975,14361200.975,12729146.625,13035224.65,13257823.2,15591351.995,14400233.3475,15679388.995,13593778.7975,13102076.7975
Rhode Island,RI,265432.75,315573.75,434531.75,321036.25,271345.25,264645.0,248321.5,243724.825,246424.725,260416.425,155613.8,151563.6
South Carolina,SC,1908812.843825,1886052.4,2123107.365125,1937884.75,2120336.5,1955050.3,1997419.1,1807402.875,1833404.375,1676878.125,1749836.175,1915535.2
South Dakota,SD,167666.0,183843.75,189991.5,205835.5,660208.25,261662.5,283986.25,228694.75,264395.25,270897.0,260021.25,311802.0
Tennessee,TN,2748980.9192,3272907.398475,3421989.3516,2912339.1,3041284.85,3013370.525,2948322.325,2745674.825,2626992.675,2848724.225,2281540.475,2318727.125
Texas,TX,10968161.6376,43747151.201975,41010440.786725,40633405.3209475,38424613.1336312,37483580.7934416,44414101.0291684,44049169.927157,45350929.9993906,46851190.6392506,42158377.7322875,36975520.2754296
Utah,UT,812551.551025,2901698.9009,2572441.408525,2090860.95,1742951.75,1862149.025,1513732.925,1512080.875,1751720.875,1522404.725,1557793.05,1572522.975
Vermont,VT,117833.75,127193.5,127373.5,100207.75,90989.75,96443.25,68835.0,58199.75,65091.5,77913.0,66901.5,55130.75
Virginia,VA,3107362.358575,7119739.615225,6561683.478175,6445998.6,6006520.175,6071240.25,6014461.5,5995166.25,5868669.45,5998258.75,6048504.925,5569921.325
Washington,WA,1200093.748275,1337841.25,1142837.56545,1156425.5,1119741.0,1146835.0,1194213.5,1338602.75,1417168.25,1602439.0,1440738.0,1616991.5
West Virginia,WV,1122829.063225,12057839.773675,12315550.54925,13029471.5,13908900.25,14684739.5,13418817.25,12802345.5,11445871.0,10343169.5,9842217.75,9443996.5
Wisconsin,WI,1428317.0361,2029025.693025,2047674.1151,1658831.5,1547863.0,1495507.0,1475638.75,1548879.25,1418762.25,1346494.25,1313015.0,1272153.0
Wyoming,WY,266733.8,1276456.25,1022107.75,952024.75,678115.5,612537.0,1412945.25,1254037.0,1208373.5,1194569.25,1007692.0,627354.25
Puerto Rico,PR,1081218.30725,1884182.39645,1024253.88845,1053915.25,897940.5,828635.75,913617.0,924731.75,642742.0,490319.5,469283.25,515814.25
