StateName,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Massachusetts,MA,21404027.290347,18460060.725873,16105575.3633658,16582017.1338,14759627.62112,15113204.058516,14360437.916394,13731374.257576,11330255.592773,9502330.134176,9070198.644785,9434910.383964
Michigan,MI,95808661.887509,92350432.9182886,90179395.4106878,90091121.6854,86044887.902,87689428.55299,79850047.334,79419106.2812,82140636.2722,76165861.432,63848876.4068,71926756.5004
Minnesota,MN,46759319.731573,47104041.1769614,42560603.4985436,43081974.7589072,47046908.2246938,43185369.7516649,42361258.760262,42611228.857829,44347827.8953503,39630923.2275631,34665719.5782135,38072338.9197029
Mississippi,MS,30399697.447027,28994715.580375,30196024.57909,29650583.384,29661180.275,32846662.837,34348858.042,32791706.976,34320565.963,32994766.908,33816914.314,32068564.426
Missouri,MO,91620740.237375,94739501.6000633,88267947.6741946,89474522.452,86574093.479,80184321.778,75098217.569197,81337807.281983,78970970.807,71308875.282,67989675.3644,73072413.5634
Montana,MT,24441980.238,21197991.288,20482233.888,21122811.628,21826549.082,22386380.42,20585358.1,19635106.184,19346672.818,20437943.206,14093179.986,16405523.574
Nebraska,NE,30403580.5427,32032927.43515,30766658.947169,32008475.42,30523109.574,29852106.77,27506142.744,27817573.4,30022633.964,27270170.654,25570342.082,25373930.0664
Nevada,NV,17616832.75657,15737962.13725,15619567.773036,16928896.174,16973282.082,15096224.52,14171190.738,13191871.358,14256061.196,14226751.7092,13743356.86,14355556.7048
New Hampshire,NH,6017622.222175,5719856.052,4819927.109287,3947281.93,3806454.638,4031028.202,2898767.288,2393887.736,2723778.972,2436896.164,2176746.942,2727080.62
New Jersey,NJ,26532376.260604,26282123.917,25282191.008399,24543586.828,26976240.8,28065379.613,29001798.992,25752812.939,25434561.832,25629293.876,20861670.406,20391514.6368
New Mexico,NM,35558662.389411,43508906.932021,42422828.563678,42390266.355454,38507699.8620236,38099826.6500246,34639381.06427,34487242.518094,31148268.3161646,32370405.6024777,29241181.178392,27818927.6239697
New York,NY,50079146.675277,47671051.4482903,46418398.209327,44290984.8448889,44472650.1908018,43426418.8651024,40302439.8129021,34639535.1433075,37431946.3805066,34313967.6254111,35340218.1631051,37177914.6323102
