CountyName,CountyID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Orange County,geoId/18117,34798.7,31254.0,44386.6,50635.0,54318.2,47383.5,49316.8,57066.5,51959.2,80124.9,69327.6,46644.5
Orange County,geoId/36071,34798.7,31254.0,44386.6,50635.0,54318.2,47383.5,49316.8,57066.5,51959.2,80124.9,69327.6,46644.5
Orange County,geoId/37135,34798.7,31254.0,44386.6,50635.0,54318.2,47383.5,49316.8,57066.5,51959.2,80124.9,69327.6,46644.5
Orange County,geoId/48361,34798.7,31254.0,44386.6,50635.0,54318.2,47383.5,49316.8,57066.5,51959.2,80124.9,69327.6,46644.5
Orange County,geoId/50017,34798.7,31254.0,44386.6,50635.0,54318.2,47383.5,49316.8,57066.5,51959.2,80124.9,69327.6,46644.5
Orange County,geoId/51137,34798.7,31254.0,44386.6,50635.0,54318.2,47383.5,49316.8,57066.5,51959.2,80124.9,69327.6,46644.5
Berks County,geoId/42011,44814.6,54450.3,59640.1,27984.8,21540.7,21593.7,22141.0,23791.0,24052.0,20521.0,15760.0,15714.0
Florence County,geoId/45041,0.0,0.0,0.0,17127.8,23878.1,21343.4,30289.9,29492.4,28915.7,30034.5,33226.5,5620.1
Florence County,geoId/55037,0.0,0.0,0.0,17127.8,23878.1,21343.4,30289.9,29492.4,28915.7,30034.5,33226.5,5620.1
Jefferson County,geoId/01073,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/05069,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/08059,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/12065,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/13163,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/16051,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/17081,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/18077,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/19101,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/20087,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/21111,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/28063,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/29099,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/30043,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/31095,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/36045,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/39081,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/40067,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/41031,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/42065,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/47089,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/48245,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/53031,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/54037,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson County,geoId/55055,134061.8,119236.6,108366.4,104463.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collin County,geoId/48085,16007.5,16367.2,13751.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
